,,,,,,,,,,,,,,,,,,,,,,,,,,
,空売り残高に関する情報,,,,,,,,,,,,,,,,,,,,,,,,,
,Information on Outstanding Short Selling Positions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"公表年月日
Date of Disclosure",2019/04/26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,計算年月日,銘柄コード,"銘柄名
（日本語／英語）",,商号・名称・氏名,住所・所在地,委託者・投資一任契約の相手方の商号・名称・氏名,委託者・投資一任契約の相手方の住所・所在地,信託財産・運用財産の名称,空売り残高割合,空売り残高数量,空売り残高売買単位数,直近計算年月日,直近空売り残高割合,備考,,,,,,,,,,,
,Date of Calculation,Code of Stock,"Name of Stock
(Japanese / English)",,Name of Short Seller,Address of Short Seller,Name of Discretionary Investment Contractor ,Address of Discretionary Investment Contractor,Name of Investment Fund,Ratio of Short Positions to Shares Outstanding,Number of Short Positions in Shares,Number of Short Positions in Trading Units,Date of Calculation in Previous Reporting,Ratio of Short Positions in Previous Reporting ,Notes,,,,,,,,,,,
,2019/04/24,2693 ,ＹＫＴ　普通株式,YKT CORPORATION,Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.91%,"108,500 ","1,085 ",2019/04/16,0.82%,,,,,,,,,,,,
,2019/04/24,2801 ,キッコーマン　普通株式,KIKKOMAN CORPORATION,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.51%,"993,015 ","9,930 ",2019/04/01,0.48%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/25,2884 ,ヨシムラ・フード・ホールディングス　普通株式,Yoshimura Food Holdings K.K.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.78%,"172,055 ","1,720 ",2019/04/24,0.82%,,,,,,,,,,,,
,2019/04/25,2884 ,ヨシムラ・フード・ホールディングス　普通株式,Yoshimura Food Holdings K.K.,三井住友DSアセットマネジメント株式会社,東京都港区愛宕二丁目5番1号 愛宕グリーンヒルズMORIタワー 28階,,,国内株式ロングショート・マザーファンド,0.70%,"154,700 ","1,547 ",2019/04/24,0.53%,,,,,,,,,,,,
,2019/04/24,2930 ,北の達人コーポレーション　普通株式,Kitanotatsujin Corporation,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.82%,"1,169,300 ","11,693 ",2019/04/19,0.96%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,2931 ,ユーグレナ　普通株式,"euglena Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.59%,"1,459,885 ","14,598 ",2019/04/10,1.69%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,3021 ,パシフィックネット　普通株式,"Pacific Net Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.46%,"24,200 ",242 ,2019/04/12,0.58%,,,,,,,,,,,,
,2019/04/25,3064 ,ＭｏｎｏｔａＲＯ　普通株式,"MonotaRO Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.71%,"1,794,614 ","17,946 ",2019/04/22,0.67%,,,,,,,,,,,,
,2019/04/24,3092 ,ＺＯＺＯ　普通株式,"ZOZO,Inc.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.50%,"1,586,583 ","15,865 ",2019/04/22,0.44%,SUBSEQUENT,,,,,,,,,,,
,2019/04/25,3092 ,ＺＯＺＯ　普通株式,"ZOZO,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.00%,"3,122,249 ","31,222 ",2019/04/24,0.99%,,,,,,,,,,,,
,2019/04/25,3139 ,ラクト・ジャパン　普通株式,"Lacto Japan Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.29%,"63,814 ",638 ,2019/04/24,1.30%,,,,,,,,,,,,
,2019/04/24,3182 ,オイシックス・ラ・大地　普通株式,Oisix ra daichi Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.59%,"199,500 ","1,995 ",2019/04/19,0.60%,,,,,,,,,,,,
,2019/04/24,3267 ,フィル・カンパニー　普通株式,"Phil Company,Inc.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.60%,"88,800 ",888 ,2019/04/23,1.54%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,3276 ,日本管理センター　普通株式,"Japan Property Management Center Co.,Ltd.",野村證券株式会社,東京都中央区日本橋一丁目９番１号,,,,0.49%,"94,119 ",941 ,2019/04/23,0.50%,,,,,,,,,,,,
,2019/04/24,3284 ,フージャースホールディングス　普通株式,Hoosiers Holdings,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.89%,"517,129 ","5,171 ",2019/04/03,0.91%,,,,,,,,,,,,
,2019/04/24,3284 ,フージャースホールディングス　普通株式,Hoosiers Holdings,野村證券株式会社,東京都中央区日本橋一丁目９番１号,,,,2.28%,"1,317,578 ","13,175 ",2019/04/10,2.39%,,,,,,,,,,,,
,2019/04/24,3300 ,ＡＭＢＩＴＩＯＮ　普通株式,AMBITION CORPORATION,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.07%,"73,000 ",730 ,2019/04/22,1.10%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,3356 ,テリロジー　普通株式,"Terilogy Co.,Ltd.",Nomura Asset Management Singapore Limited,"10 Marina Boulevard, Marina Bay Financial Centre Tower 2, #33-03, Singapore 018983",Global Funds Trust Company,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",,2.92%,"469,500 ","4,695 ",2019/03/20,3.07%,,,,,,,,,,,,
,2019/04/24,3356 ,テリロジー　普通株式,"Terilogy Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.03%,"165,600 ","1,656 ",2019/04/16,0.99%,,,,,,,,,,,,
,2019/04/24,3469 ,デュアルタップ　普通株式,"Dualtap Co.,Ltd.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.28%,"44,200 ",442 ,2019/04/23,1.10%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/25,3469 ,デュアルタップ　普通株式,"Dualtap Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.21%,"41,700 ",417 ,2019/04/24,1.15%,,,,,,,,,,,,
,2019/04/24,3528 ,プロスペクト　普通株式,"Prospect Co.,Ltd.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.69%,"3,129,500 ","31,295 ",2019/04/04,0.71%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,3652 ,ディジタルメディアプロフェッショナル　普通株式,Digital Media Professionals Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.55%,"15,700 ",157 ,2019/04/23,0.46%,,,,,,,,,,,,
,2019/04/24,3656 ,ＫＬａｂ　普通株式,KLab Inc.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,2.50%,"946,200 ","9,462 ",2019/04/22,2.47%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,3656 ,ＫＬａｂ　普通株式,KLab Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,2.67%,"1,009,950 ","10,099 ",2019/04/23,2.74%,,,,,,,,,,,,
,2019/04/24,3656 ,ＫＬａｂ　普通株式,KLab Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,1.28%,"486,828 ","4,868 ",2019/04/23,1.30%,,,,,,,,,,,,
,2019/04/24,3656 ,ＫＬａｂ　普通株式,KLab Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.88%,"712,200 ","7,122 ",2019/04/19,1.96%,,,,,,,,,,,,
,2019/04/25,3656 ,ＫＬａｂ　普通株式,KLab Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,4.89%,"1,846,956 ","18,469 ",2019/04/23,4.27%,,,,,,,,,,,,
