,,,,,,,,,,,,,,,,,,,,,,,,,,
,空売り残高に関する情報,,,,,,,,,,,,,,,,,,,,,,,,,
,Information on Outstanding Short Selling Positions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"公表年月日
Date of Disclosure",2019/04/26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,計算年月日,銘柄コード,"銘柄名
（日本語／英語）",,商号・名称・氏名,住所・所在地,委託者・投資一任契約の相手方の商号・名称・氏名,委託者・投資一任契約の相手方の住所・所在地,信託財産・運用財産の名称,空売り残高割合,空売り残高数量,空売り残高売買単位数,直近計算年月日,直近空売り残高割合,備考,,,,,,,,,,,
,Date of Calculation,Code of Stock,"Name of Stock
(Japanese / English)",,Name of Short Seller,Address of Short Seller,Name of Discretionary Investment Contractor ,Address of Discretionary Investment Contractor,Name of Investment Fund,Ratio of Short Positions to Shares Outstanding,Number of Short Positions in Shares,Number of Short Positions in Trading Units,Date of Calculation in Previous Reporting,Ratio of Short Positions in Previous Reporting ,Notes,,,,,,,,,,,
,2019/04/24,7004 ,日立造船　普通株式,Hitachi Zosen Corporation,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.75%,"1,282,720 ","12,827 ",2019/04/19,0.66%,,,,,,,,,,,,
,2019/04/24,7046 ,テクノスデータサイエンス・エンジニアリング　普通株式,TECNOS DATA SCIENCE ENGINEERING INCORPORATED,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,3.13%,"68,900 ",689 ,2019/04/23,2.85%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,7049 ,識学　普通株式,"SHIKIGAKU.Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,2.45%,"61,060 ",610 ,2019/04/23,2.35%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,7061 ,日本ホスピスホールディングス　普通株式,Japan Hospice Holdings Inc.,野村證券株式会社,東京都中央区日本橋一丁目９番１号,,,,0.00%,0 ,0 ,2019/03/28,3.82%,,,,,,,,,,,,
,2019/04/25,7157 ,ライフネット生命保険　普通株式,LIFENET INSURANCE COMPANY,三井住友DSアセットマネジメント株式会社,東京都港区愛宕二丁目5番1号 愛宕グリーンヒルズMORIタワー 28階,,,国内株式ロングショートＶ・マザーファンド,0.53%,"275,800 ","2,758 ",2019/04/19,0.44%,,,,,,,,,,,,
,2019/04/25,7172 ,ジャパンインベストメントアドバイザー　普通株式,"Japan Investment Adviser Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.41%,"428,504 ","4,285 ",2019/04/18,1.30%,,,,,,,,,,,,
,2019/04/24,7196 ,Ｃａｓａ　普通株式,Casa Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.50%,"55,900 ",559 ,2019/04/04,0.40%,,,,,,,,,,,,
,2019/04/25,7198 ,アルヒ　普通株式,ARUHI Corporation,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.10%,"398,222 ","3,982 ",2019/04/24,0.90%,,,,,,,,,,,,
,2019/04/24,7199 ,プレミアグループ　普通株式,"Premium Group Co.,Ltd.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.73%,"96,400 ",964 ,2019/04/18,0.68%,,,,,,,,,,,,
,2019/04/24,7271 ,安永　普通株式,YASUNAGA CORPORATION,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.21%,"27,900 ",279 ,2019/04/04,0.62%,,,,,,,,,,,,
,2019/04/24,7599 ,ＩＤＯＭ　普通株式,IDOM Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.52%,"558,000 ","5,580 ",2019/04/23,0.32%,,,,,,,,,,,,
,2019/04/24,7599 ,ＩＤＯＭ　普通株式,IDOM Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.80%,"862,534 ","8,625 ",2019/04/18,0.71%,,,,,,,,,,,,
,2019/04/24,7608 ,エスケイジャパン　普通株式,"SK JAPAN CO.,LTD.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.77%,"66,100 ",661 ,2019/04/22,0.67%,,,,,,,,,,,,
,2019/04/24,7671 ,ＡｍｉｄＡホールディングス　普通株式,"AmidA Holdings Co.,Ltd.",Integrated Core Strategies (Asia) Pte. Ltd.,"80 Raffles Place, #14-20 UOB Plaza 2, Singapore 048624",,,,1.13%,"23,900 ",239 ,2019/04/19,1.00%,,,,,,,,,,,,
,2019/04/24,7717 ,ブイ・テクノロジー　普通株式,"V Technology Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.51%,"26,000 ",260 ,2019/04/23,0.44%,,,,,,,,,,,,
,2019/04/24,7725 ,インターアクション　普通株式,INTER ACTION Corporation,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.78%,"90,000 ",900 ,2019/04/22,0.96%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,7725 ,インターアクション　普通株式,INTER ACTION Corporation,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,2.30%,"265,188 ","2,651 ",2019/04/22,2.23%,,,,,,,,,,,,
,2019/04/24,7725 ,インターアクション　普通株式,INTER ACTION Corporation,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.34%,"40,000 ",400 ,2019/04/23,1.04%,,,,,,,,,,,,
,2019/04/24,7725 ,インターアクション　普通株式,INTER ACTION Corporation,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.89%,"102,900 ","1,029 ",2019/04/19,0.90%,,,,,,,,,,,,
,2019/04/25,7725 ,インターアクション　普通株式,INTER ACTION Corporation,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,3.73%,"405,262 ","4,052 ",2019/04/23,3.59%,,,,,,,,,,,,
,2019/04/24,7735 ,ＳＣＲＥＥＮホールディングス　普通株式,"SCREEN Holdings Co.,Ltd.",J.P. MORGAN SECURITIES PLC,25 BANK STREET CANARY WHARF LONDON E14 5JP UNITED KINGDOM REG. NO. 2711006,,,,0.04%,"23,497 ",234 ,2019/04/12,0.87%,,,,,,,,,,,,
,2019/04/24,7746 ,岡本硝子　普通株式,"OKAMOTO GLASS CO.,LTD.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,2.91%,"674,000 ","6,740 ",2019/04/23,2.66%,,,,,,,,,,,,
,2019/04/24,7746 ,岡本硝子　普通株式,"OKAMOTO GLASS CO.,LTD.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,1.21%,"282,100 ","2,821 ",2019/04/22,1.01%,,,,,,,,,,,,
,2019/04/24,7748 ,ホロン　普通株式,"HOLON CO.,LTD.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.53%,"17,800 ",178 ,2019/04/22,0.67%,,,,,,,,,,,,
,2019/04/24,7752 ,リコー　普通株式,"RICOH COMPANY,LTD.",Barclays Bank PLC,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,1.49%,"11,164,066 ","111,640 ",2019/03/13,1.52%,,,,,,,,,,,,
,2019/04/24,7762 ,シチズン時計　普通株式,"Citizen Watch Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.99%,"3,192,265 ","31,922 ",2019/04/22,1.09%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,7777 ,スリー・ディー・マトリックス　普通株式,"3-D Matrix,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.59%,"166,400 ","1,664 ",2019/04/19,0.42%,,,,,,,,,,,,
,2019/04/24,7779 ,ＣＹＢＥＲＤＹＮＥ　普通株式,"CYBERDYNE,INC.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,1.00%,"1,386,600 ","13,866 ",2019/04/23,1.24%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,7779 ,ＣＹＢＥＲＤＹＮＥ　普通株式,"CYBERDYNE,INC.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.21%,"1,665,815 ","16,658 ",2019/04/19,1.19%,,,,,,,,,,,,
,2019/04/24,7859 ,アルメディオ　普通株式,ALMEDIO INC.,Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.80%,"93,800 ",938 ,2019/04/23,0.71%,,,,,,,,,,,,
,2019/04/24,7859 ,アルメディオ　普通株式,ALMEDIO INC.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.65%,"76,281 ",762 ,,,,,,,,,,,,,,
,2019/04/24,7859 ,アルメディオ　普通株式,ALMEDIO INC.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.76%,"89,700 ",897 ,2019/04/23,0.54%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,7919 ,野崎印刷紙業　普通株式,"Nozaki Insatsu Shigyo Co.,Ltd.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.48%,"104,600 ","1,046 ",2019/03/28,0.58%,,,,,,,,,,,,
,2019/04/24,7936 ,アシックス　普通株式,ASICS Corporation,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.78%,"1,481,260 ","14,812 ",2019/04/23,0.75%,,,,,,,,,,,,
,2019/04/25,7936 ,アシックス　普通株式,ASICS Corporation,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.80%,"3,424,065 ","34,240 ",2019/04/24,1.72%,,,,,,,,,,,,
,2019/04/24,7951 ,ヤマハ　普通株式,YAMAHA CORPORATION,野村證券株式会社,東京都中央区日本橋一丁目９番１号,,,,0.69%,"1,339,333 ","13,393 ",2019/04/19,0.70%,,,,,,,,,,,,
,2019/04/25,8028 ,ユニー・ファミリーマートホールディングス　普通株式,"FamilyMart UNY Holdings Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.48%,"2,468,389 ","24,683 ",2019/04/19,0.53%,,,,,,,,,,,,
,2019/04/24,8186 ,大塚家具　普通株式,"OTSUKA KAGU,LTD.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,1.26%,"358,000 ","3,580 ",2019/04/23,1.25%,,,,,,,,,,,,
,2019/04/24,8186 ,大塚家具　普通株式,"OTSUKA KAGU,LTD.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.02%,"289,500 ","2,895 ",2019/04/18,1.11%,,,,,,,,,,,,
,2019/04/24,8186 ,大塚家具　普通株式,"OTSUKA KAGU,LTD.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,1.34%,"380,400 ","3,804 ",2019/04/23,1.06%,,,,,,,,,,,,
,2019/04/24,8226 ,理経　普通株式,RIKEI CORPORATION,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.37%,"58,400 ",584 ,2019/04/23,0.99%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,8226 ,理経　普通株式,RIKEI CORPORATION,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.98%,"152,600 ","1,526 ",2019/04/23,1.40%,,,,,,,,,,,,
,2019/04/24,8226 ,理経　普通株式,RIKEI CORPORATION,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.96%,"150,000 ","1,500 ",2019/04/10,1.05%,,,,,,,,,,,,
,2019/04/24,8227 ,しまむら　普通株式,"SHIMAMURA Co.,Ltd.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.65%,"241,057 ","2,410 ",2019/04/22,0.62%,,,,,,,,,,,,
,2019/04/24,8252 ,丸井グループ　普通株式,"MARUI GROUP CO.,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.60%,"1,352,214 ","13,522 ",2019/04/02,0.51%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,8256 ,プロルート丸光　普通株式,"MARUMITSU CO.,LTD.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.90%,"391,000 ","3,910 ",2019/04/16,1.89%,,,,,,,,,,,,
,2019/04/24,8256 ,プロルート丸光　普通株式,"MARUMITSU CO.,LTD.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.52%,"313,000 ","3,130 ",2019/04/23,1.48%,,,,,,,,,,,,
,2019/04/24,8418 ,山口フィナンシャルグループ　普通株式,"Yamaguchi Financial Group,Inc.",Integrated Core Strategies (Asia) Pte. Ltd.,"80 Raffles Place, #14-20 UOB Plaza 2, Singapore 048624",,,,0.85%,"2,268,263 ","22,682 ",2019/04/19,0.70%,,,,,,,,,,,,
,2019/04/24,8628 ,松井証券　普通株式,"MATSUI SECURITIES CO.,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.51%,"1,332,045 ","13,320 ",2019/04/22,0.47%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,8698 ,マネックスグループ　普通株式,"Monex Group,Inc.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.53%,"1,432,000 ","14,320 ",2019/04/17,0.49%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,8698 ,マネックスグループ　普通株式,"Monex Group,Inc.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.51%,"1,359,412 ","13,594 ",2019/04/23,0.52%,,,,,,,,,,,,
,2019/04/24,8698 ,マネックスグループ　普通株式,"Monex Group,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.66%,"1,773,200 ","17,732 ",2019/04/23,0.55%,,,,,,,,,,,,
,2019/04/25,8698 ,マネックスグループ　普通株式,"Monex Group,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.24%,"3,303,664 ","33,036 ",2019/04/24,1.15%,,,,,,,,,,,,
,2019/04/24,8705 ,岡藤ホールディングス　普通株式,"Okato Holdings,Inc.",Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.59%,"65,300 ",653 ,2019/04/19,0.69%,,,,,,,,,,,,
,2019/04/24,8715 ,アニコム　ホールディングス　普通株式,"Anicom Holdings,Inc.",Integrated Core Strategies (Asia) Pte. Ltd.,"80 Raffles Place, #14-20 UOB Plaza 2, Singapore 048624",,,,0.60%,"121,400 ","1,214 ",2019/03/28,0.52%,,,,,,,,,,,,
,2019/04/24,8848 ,レオパレス２１　普通株式,LEOPALACE21 CORPORATION,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.88%,"4,618,841 ","46,188 ",2019/04/23,1.69%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,8848 ,レオパレス２１　普通株式,LEOPALACE21 CORPORATION,J.P. MORGAN SECURITIES PLC,25 BANK STREET CANARY WHARF LONDON E14 5JP UNITED KINGDOM REG. NO. 2711006,,,,0.00%,0 ,0 ,2019/04/03,1.83%,,,,,,,,,,,,
,2019/04/24,8848 ,レオパレス２１　普通株式,LEOPALACE21 CORPORATION,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,4.38%,"10,735,600 ","107,356 ",2019/04/23,4.40%,,,,,,,,,,,,
,2019/04/25,8848 ,レオパレス２１　普通株式,LEOPALACE21 CORPORATION,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,6.89%,"16,875,591 ","168,755 ",2019/04/24,6.98%,,,,,,,,,,,,
,2019/04/25,8897 ,タカラレーベン　普通株式,"Takara Leben CO.,LTD.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.89%,"1,081,943 ","10,819 ",2019/04/12,0.93%,,,,,,,,,,,,
,2019/04/24,8912 ,エリアクエスト　普通株式,Area Quest Inc.,Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.49%,"111,500 ","1,115 ",2019/04/12,0.59%,,,,,,,,,,,,
,2019/04/24,8946 ,ＡＳＩＡＮ　ＳＴＡＲ　普通株式,ASIAN STAR CO.,Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.85%,"154,200 ","1,542 ",2019/04/23,0.75%,,,,,,,,,,,,
,2019/04/24,9104 ,商船三井　普通株式,"Mitsui O.S.K.Lines,Ltd.",Barclays Capital Securities Ltd,"5 The North Colonnade, Canary Wharf
London E14 4BB, United Kingdom",,,,0.49%,"599,429 ","5,994 ",2019/04/17,0.57%,,,,,,,,,,,,
,2019/04/24,9104 ,商船三井　普通株式,"Mitsui O.S.K.Lines,Ltd.",J.P. MORGAN SECURITIES PLC,25 BANK STREET CANARY WHARF LONDON E14 5JP UNITED KINGDOM REG. NO. 2711006,,,,0.03%,"38,745 ",387 ,2019/04/11,0.62%,,,,,,,,,,,,
,2019/04/24,9107 ,川崎汽船　普通株式,"Kawasaki Kisen Kaisha,Ltd.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.86%,"811,747 ","8,117 ",2019/04/22,0.85%,,,,,,,,,,,,
,2019/04/25,9107 ,川崎汽船　普通株式,"Kawasaki Kisen Kaisha,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.86%,"814,363 ","8,143 ",2019/04/19,0.97%,,,,,,,,,,,,
,2019/04/24,9262 ,シルバーライフ　普通株式,"SILVER LIFE CO.,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.68%,"36,000 ",360 ,2019/04/18,0.70%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,9325 ,ファイズ　普通株式,PHYZ inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.47%,"51,800 ",518 ,2018/12/28,0.53%,,,,,,,,,,,,
,2019/04/24,9419 ,ワイヤレスゲート　普通株式,"WirelessGate,Inc.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,3.67%,"390,200 ","3,902 ",2019/04/11,3.73%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,9419 ,ワイヤレスゲート　普通株式,"WirelessGate,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.72%,"77,100 ",771 ,2019/04/23,0.69%,,,,,,,,,,,,
,2019/04/25,9419 ,ワイヤレスゲート　普通株式,"WirelessGate,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.65%,"69,877 ",698 ,2019/04/24,0.70%,,,,,,,,,,,,
,2019/04/24,9424 ,日本通信　普通株式,Japan Communications Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.59%,"959,900 ","9,599 ",2018/12/06,0.61%,,,,,,,,,,,,
,2019/04/24,9425 ,日本テレホン　普通株式,NIPPON TELEPHONE INC.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,1.90%,"64,900 ",649 ,2019/04/16,1.80%,,,,,,,,,,,,
,2019/04/24,9449 ,ＧＭＯインターネット　普通株式,GMO internet Inc.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.59%,"680,900 ","6,809 ",2019/04/18,0.62%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,9504 ,中国電力　普通株式,"The Chugoku Electric Power Company,Incorporated",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.59%,"2,189,796 ","21,897 ",2019/04/23,0.58%,,,,,,,,,,,,
,2019/04/24,9508 ,九州電力　普通株式,"Kyushu Electric Power Company,Incorporated",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.77%,"3,665,992 ","36,659 ",2019/04/22,1.28%,,,,,,,,,,,,
,2019/04/24,9627 ,アインホールディングス　普通株式,AIN HOLDINGS INC.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.69%,"247,500 ","2,475 ",2019/04/17,0.71%,,,,,,,,,,,,
,2019/04/24,9702 ,アイ・エス・ビー　普通株式,ISB CORPORATION,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.69%,"35,300 ",353 ,2019/04/23,0.70%,,,,,,,,,,,,
,2019/04/24,9783 ,ベネッセホールディングス　普通株式,"Benesse Holdings,Inc.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.86%,"884,805 ","8,848 ",2019/04/23,0.92%,,,,,,,,,,,,
,2019/04/24,9972 ,アルテック　普通株式,"ALTECH CO.,LTD.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.50%,"97,400 ",974 ,2019/04/16,0.49%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,9983 ,ファーストリテイリング　普通株式,"FAST RETAILING CO.,LTD.",Societe Generale,"Tour S.G. 17 cours Valmy Cedex 92987
PARIS La Defense France",,,,0.74%,"791,839 ","7,918 ",2019/04/17,0.80%,,,,,,,,,,,,
